Indice,Saison,Emissions,Horizon,Percentile,Valeur
Moyenne des température maximales quotidiennes ,Printemps,rcp45,2071-2100,p50,13.58
Moyenne des température maximales quotidiennes ,Printemps,rcp45,2071-2100,p90,14.85
Moyenne des température maximales quotidiennes ,Automne,rcp85,2041-2070,p10,14.91
Moyenne des température maximales quotidiennes ,Automne,rcp85,2041-2070,p50,16.141
Moyenne des température maximales quotidiennes ,Automne,rcp85,2041-2070,p90,17.194
Moyenne des température maximales quotidiennes ,Été,rcp85,2041-2070,p10,28.038
Moyenne des température maximales quotidiennes ,Été,rcp85,2041-2070,p50,28.679
Moyenne des température maximales quotidiennes ,Été,rcp85,2041-2070,p90,30.02
Moyenne des température maximales quotidiennes ,Hiver,rcp85,2041-2070,p10,-1.305
Moyenne des température maximales quotidiennes ,Hiver,rcp85,2041-2070,p50,-0.635
Moyenne des température maximales quotidiennes ,Hiver,rcp85,2041-2070,p90,0.255
Moyenne des température maximales quotidiennes ,Printemps,rcp85,2041-2070,p10,13.113
Moyenne des température maximales quotidiennes ,Printemps,rcp85,2041-2070,p50,13.826
Moyenne des température maximales quotidiennes ,Printemps,rcp85,2041-2070,p90,14.27
Moyenne des température maximales quotidiennes ,Automne,rcp85,2071-2100,p10,16.778
Moyenne des température maximales quotidiennes ,Automne,rcp85,2071-2100,p50,18.56
Moyenne des température maximales quotidiennes ,Automne,rcp85,2071-2100,p90,19.665
Moyenne des température maximales quotidiennes ,Été,rcp85,2071-2100,p10,29.126
Moyenne des température maximales quotidiennes ,Été,rcp85,2071-2100,p50,31.474
Moyenne des température maximales quotidiennes ,Été,rcp85,2071-2100,p90,33.018
Moyenne des température maximales quotidiennes ,Hiver,rcp85,2071-2100,p10,0.15
Moyenne des température maximales quotidiennes ,Hiver,rcp85,2071-2100,p50,1.493
Moyenne des température maximales quotidiennes ,Hiver,rcp85,2071-2100,p90,2.752
Moyenne des température maximales quotidiennes ,Printemps,rcp85,2071-2100,p10,14.56
Moyenne des température maximales quotidiennes ,Printemps,rcp85,2071-2100,p50,15.517
Moyenne des température maximales quotidiennes ,Printemps,rcp85,2071-2100,p90,16.901
Indice de gel ,Annuel,hist,1981-2010,p50,868.63
Événements de gel-dégel ,Annuel,hist,1981-2010,p50,73.134
Événements de gel-dégel ,Automne,hist,1981-2010,p50,20.072
Événements de gel-dégel ,Été,hist,1981-2010,p50,0
Événements de gel-dégel ,Hiver,hist,1981-2010,p50,26.484
Événements de gel-dégel ,Printemps,hist,1981-2010,p50,27.645
Degrés-jours de croissance ,Annuel,hist,1981-2010,p50,2414.615
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),hist,1981-2010,p50,0.036
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),hist,1981-2010,p50,0.37
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),hist,1981-2010,p50,0.556
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),hist,1981-2010,p50,0.13
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),hist,1981-2010,p50,1.513
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),hist,1981-2010,p50,2.244
Précipitations liquides totales ,Annuel,hist,1981-2010,p50,810.951
Précipitations liquides totales ,Automne,hist,1981-2010,p50,253.391
Précipitations liquides totales ,Été,hist,1981-2010,p50,280.404
Précipitations liquides totales ,Hiver,hist,1981-2010,p50,73.18
Précipitations liquides totales ,Printemps,hist,1981-2010,p50,195.672
Maximum des précipitations cumulées sur cinq jours ,Annuel,hist,1981-2010,p50,72.201
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,hist,1981-2010,p50,65.397
Précipitations totales ,Annuel,hist,1981-2010,p50,996.117
Précipitations totales ,Automne,hist,1981-2010,p50,266.525
Précipitations totales ,Été,hist,1981-2010,p50,280.546
Précipitations totales ,Hiver,hist,1981-2010,p50,217.072
Précipitations totales ,Printemps,hist,1981-2010,p50,227.676
Précipitations solides totales ,Annuel,hist,1981-2010,p50,181.108
Précipitations solides totales ,Automne,hist,1981-2010,p50,12.183
Précipitations solides totales ,Été,hist,1981-2010,p50,0
Précipitations solides totales ,Hiver,hist,1981-2010,p50,141.053
Précipitations solides totales ,Printemps,hist,1981-2010,p50,29.625
Températures moyennes ,Annuel,hist,1981-2010,p50,6.787
Températures moyennes ,Automne,hist,1981-2010,p50,8.562
Températures moyennes ,Été,hist,1981-2010,p50,20.13
Températures moyennes ,Hiver,hist,1981-2010,p50,-7.754
Températures moyennes ,Printemps,hist,1981-2010,p50,6.011
Nombre de jours > 0°C ,Automne,hist,1981-2010,p50,66.686
Nombre de jours > 0°C ,Été,hist,1981-2010,p50,92
Nombre de jours > 0°C ,Hiver,hist,1981-2010,p50,4.239
Nombre de jours > 0°C ,Printemps,hist,1981-2010,p50,53.826
Nombre de jours < -25 °C ,Hiver,hist,1981-2010,p50,4.656
Moyenne des températures minimales quotidiennes ,Annuel,hist,1981-2010,p50,2.072
Moyenne des températures minimales quotidiennes ,Automne,hist,1981-2010,p50,4.265
Moyenne des températures minimales quotidiennes ,Été,hist,1981-2010,p50,14.768
Moyenne des températures minimales quotidiennes ,Hiver,hist,1981-2010,p50,-12.081
Moyenne des températures minimales quotidiennes ,Printemps,hist,1981-2010,p50,1.074
Nombre de nuits > 20 °C,Annuel,hist,1981-2010,p50,6.756
Nombre de nuits > 22 °C,Annuel,hist,1981-2010,p50,1.51
Nombre de jours > 32 °C,Annuel,hist,1981-2010,p50,3.172
Nombre de jours > 30 °C,Annuel,hist,1981-2010,p50,10.964
Moyenne des température maximales quotidiennes ,Annuel,hist,1981-2010,p50,11.514
Moyenne des température maximales quotidiennes ,Automne,hist,1981-2010,p50,12.845
Moyenne des température maximales quotidiennes ,Été,hist,1981-2010,p50,25.479
Moyenne des température maximales quotidiennes ,Hiver,hist,1981-2010,p50,-3.445
Moyenne des température maximales quotidiennes ,Printemps,hist,1981-2010,p50,10.934
